1026,North,ABC1,Male,51,Selected,,Selected,,,Selected,,Selected,,,,,,,,,Selected,,Selected,,,Selected,,,Selected,,,Selected,,,Selected,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,,,,,,,,,,,,,,,Selected,,Selected,Selected,Selected,,,Selected,,Selected,,Selected,,,No,,,,,,Selected,,Selected,,,,,,,,Disagree strongly,Disagree strongly,Agree slightly,Disagree strongly,,,,,,,,,Selected,Disagree strongly,Disagree strongly,Disagree slightly,Disagree strongly
1094,North,C2DE,Female,59,,Selected,,Selected,Selected,,,,Selected,,,,,,,,,,,,,,Selected,Selected,,Selected,Selected,,Selected,Selected,,,,,Agree strongly,Agree slightly,Agree slightly,Disagree slightly,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,,,,,,,,,,,,Selected,No,,Selected,,,,,Selected,,Selected,,,Selected,,Selected,,Agree strongly,Agree strongly,Disagree slightly,Agree strongly,Selected,Selected,,Selected,Selected,Selected,,Selected,,Agree strongly,Disagree slightly,Agree strongly,Disagree slightly
1101,London,ABC1,Male,63,Selected,,,Selected,,,Selected,,,,Selected,Selected,,Selected,,,,,,,,Selected,,Selected,,Selected,Selected,Selected,,,Selected,,,,Agree slightly,Agree strongly,Agree slightly,Agree slightly,,Selected,Selected,Selected,,Selected,,Selected,Selected,,,,,Selected,,,,,,,,,Selected,,,,,,Yes,,,,,,,,,Selected,,,,,,,Agree strongly,Agree strongly,Disagree slightly,Agree strongly,Selected,Selected,Selected,Selected,Selected,Selected,,Selected,,Agree slightly,Disagree slightly,Agree slightly,Disagree slightly
1108,North,ABC1,Male,69,Selected,Selected,,,,Selected,,Selected,Selected,,,Selected,,,,,,,Selected,,,Selected,,Selected,,,,,Selected,Selected,,,,,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,Selected,Selected,Selected,,Selected,Selected,Selected,,Selected,Selected,,Selected,Selected,,,,Selected,,Selected,Selected,Selected,Selected,,,,Selected,,,No,,Selected,,,,,,,Selected,,,Selected,,,,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,,Selected,,Selected,,,,,Disagree slightly,Agree slightly,Disagree slightly,Disagree slightly
1116,North,C2DE,Female,69,,Selected,,,,,,Selected,,,,,,,,,,,,,,,,,,,,,Selected,,,,Selected,,Agree slightly,Agree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,Selected,,,,,,,,,,,,,Selected,No,,,,,,,,,,,,,,,Selected,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,,,,,,,,,Selected,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
1122,Rest of South,C2DE,Male,57,Selected,Selected,,,,Selected,,,,,Selected,,,,Selected,,Selected,,,,,Selected,,,,,,,,,,Selected,,,Agree slightly,Agree slightly,Agree strongly,Agree strongly,,Selected,,,,,,,,,,,,Selected,,,Selected,,,,,Selected,Selected,,,,,,Yes,,,,,Selected,,,,,,,,,Selected,,Agree slightly,Disagree slightly,Agree slightly,Agree slightly,,Selected,,,,,,Selected,,Agree slightly,Agree slightly,Disagree slightly,Disagree slightly
1155,Scotland,ABC1,Male,68,Selected,,,,,Selected,,,,,,,,,Selected,,,,,,,,,Selected,,,Selected,,,,,,,,Disagree slightly,Agree slightly,Agree slightly,Disagree slightly,,,,,,,,,,,,,,,Selected,,Selected,Selected,Selected,Selected,,Selected,,,,,,,No,,,,,,,,,,,,,,,Selected,Disagree slightly,Disagree slightly,Agree slightly,Agree slightly,,,,Selected,Selected,Selected,,Selected,,Disagree slightly,Agree slightly,Disagree slightly,Disagree slightly
1178,Midlands and Wales,C2DE,Male,63,Selected,,,,,Selected,,,Selected,,,Selected,,,,,,,,,,Selected,,Selected,,,Selected,Selected,,,,,,,Disagree slightly,Agree slightly,Agree strongly,Agree slightly,Selected,Selected,Selected,Selected,,Selected,,,Selected,,Selected,,Selected,Selected,,,Selected,,,,,Selected,,,Selected,,,,No,,Selected,Selected,,,,Selected,,Selected,,,,,Selected,,Agree slightly,Agree strongly,Agree strongly,Agree strongly,Selected,,,Selected,Selected,Selected,,Selected,,Disagree slightly,Agree slightly,Agree slightly,Disagree slightly
1182,London,C2DE,Male,45,Selected,Selected,,,,Selected,,,Selected,Selected,,,Selected,,,,,Selected,,,,Selected,Selected,Selected,,,Selected,Selected,Selected,,,,,,Disagree slightly,Agree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,Selected,,Selected,Selected,,,,,,,,,,,No,,,,,,,,,,,,,,,Selected,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,,,,,,,,,Selected,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
1338,North,C2DE,Male,66,Selected,Selected,,Selected,,Selected,Selected,Selected,Selected,,Selected,Selected,,Selected,Selected,,,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,Selected,Selected,Selected,,Disagree slightly,Agree slightly,Agree strongly,Agree slightly,,Selected,Selected,Selected,,,,,Selected,,,,,,,,Selected,,Selected,,,,Selected,,,Selected,Selected,,No,,,,,,,,Selected,,,,,,,,Agree slightly,Disagree slightly,Agree slightly,Disagree slightly,,,,,,Selected,,,,Disagree slightly,Agree slightly,Agree slightly,Agree slightly
1353,North,C2DE,Male,62,Selected,,,,,Selected,,,Selected,,Selected,,,,Selected,,,,,,,Selected,,Selected,,,Selected,Selected,Selected,,,Selected,,,Agree slightly,Agree slightly,Agree strongly,Agree slightly,Selected,Selected,Selected,Selected,Selected,,Selected,,Selected,Selected,,,,Selected,,,Selected,,,,,,Selected,Selected,,Selected,,,No,,Selected,,,,,,,Selected,,,Selected,,,,Agree slightly,Agree strongly,Disagree slightly,Agree strongly,,Selected,Selected,Selected,Selected,Selected,,Selected,,Agree strongly,Agree slightly,Agree slightly,Disagree slightly
1365,Rest of South,C2DE,Male,32,Selected,Selected,,,,Selected,,Selected,Selected,Selected,Selected,Selected,,Selected,Selected,,Selected,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,,,Selected,Selected,,Selected,Selected,Selected,,Disagree slightly,Agree strongly,Agree strongly,Agree strongly,Selected,Selected,,Selected,,Selected,,,,,,,Selected,Selected,,,Selected,Selected,Selected,,Selected,Selected,Selected,,Selected,Selected,,,No,,Selected,,,Selected,,Selected,,,,,,,,,Disagree slightly,Agree slightly,Agree strongly,Agree slightly,,,Selected,,,,,Selected,,Disagree slightly,Agree slightly,Disagree slightly,Disagree strongly
1396,North,C2DE,Male,29,,,,,,,Selected,,,,,,,,,,,,,,,,,Selected,,,,,Selected,,Selected,,,,Agree slightly,Agree strongly,Disagree slightly,Agree slightly,,,,,,,,,,,,,,,Selected,,,,Selected,Selected,Selected,,,,Selected,,,,No,,,,,,,,Selected,,,,,,,,Disagree slightly,Disagree strongly,Disagree strongly,Disagree strongly,,,,,,,,,Selected,Agree slightly,Disagree slightly,Disagree slightly,Agree slightly
1428,Midlands and Wales,C2DE,Male,38,Selected,,,Selected,Selected,Selected,,,Selected,,Selected,Selected,,,Selected,,Selected,,,,,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,,,,,,Agree strongly,Agree strongly,Agree strongly,Agree strongly,,Selected,,,,,,,,Selected,,,,Selected,,,Selected,Selected,Selected,,Selected,Selected,Selected,,Selected,,,,No,,,,,,,,,,,,,,,Selected,Disagree slightly,Disagree slightly,Agree strongly,Agree slightly,,,,,,,,Selected,,Disagree slightly,Agree strongly,Agree slightly,Agree slightly
